repo,file,line,property,value,count
planetai,assets/site-chrome.css,248,border-radius,8px,2
planetai,assets/site-chrome.css,230,border-radius,0,1
planetai,assets/site-chrome.css,284,border-radius,12px,1
planetai,assets/site-chrome.css,261,border-radius,2px,1
planetai,assets/site-chrome.css,285,box-shadow,"0 14px 40px rgba(0,0,0,0.10)",1
planetai,assets/site-chrome.css,108,font-family,var(--font-mono),6
planetai,assets/site-chrome.css,176,font-family,var(--font-display),3
planetai,assets/site-chrome.css,79,font-family,var(--font-body),1
planetai,assets/site-chrome.css,109,font-size,10.5px,2
planetai,assets/site-chrome.css,212,font-size,12px,2
planetai,assets/site-chrome.css,80,font-size,17px,2
planetai,assets/site-chrome.css,178,font-size,10px,1
planetai,assets/site-chrome.css,386,font-size,12.5px,1
planetai,assets/site-chrome.css,326,font-size,18px,1
planetai,assets/site-chrome.css,199,font-size,9.5px,1
planetai,assets/site-chrome.css,316,font-size,"clamp(30px, 4vw, 46px)",1
planetai,assets/site-chrome.css,12,hex,#20388d,3
planetai,assets/site-chrome.css,8,hex,#1e1e1e,2
planetai,assets/site-chrome.css,9,hex,#ffffff,2
planetai,assets/site-chrome.css,11,hex,#00a057,1
planetai,assets/site-chrome.css,20,hex,#4a4a44,1
planetai,assets/site-chrome.css,36,hex,#7a5a10,1
planetai,assets/site-chrome.css,254,hex,#d6346c,1
planetai,assets/site-chrome.css,18,hex,#d8d3c4,1
planetai,assets/site-chrome.css,60,hex,#e0dbc9,1
planetai,assets/site-chrome.css,59,hex,#e1e0db,1
planetai,assets/site-chrome.css,10,hex,#e62038,1
planetai,assets/site-chrome.css,58,hex,#e6e5e0,1
planetai,assets/site-chrome.css,57,hex,#ebeae5,1
planetai,assets/site-chrome.css,17,hex,#f0ede5,1
planetai,assets/site-chrome.css,56,hex,#f2f1ed,1
planetai,assets/site-chrome.css,9,hex,#f7f5f1,1
planetai,assets/site-chrome.css,55,hex,#f7f7f4,1
planetai,assets/site-chrome.css,189,letter-spacing,0.04em,2
planetai,assets/site-chrome.css,213,letter-spacing,0.06em,2
planetai,assets/site-chrome.css,110,letter-spacing,0.14em,2
planetai,assets/site-chrome.css,318,letter-spacing,-0.020em,1
planetai,assets/site-chrome.css,179,letter-spacing,0.18em,1
planetai,assets/site-chrome.css,285,rgb,"rgba(0,0,0,0.10)",1
planetai,assets/site-chrome.css,126,rgb,"rgba(247, 245, 241, 0.88)",1
planetai,assets/site-chrome.css,280,rgb,"rgba(247, 245, 241, 0.98)",1
planetai,assets/site-chrome.css,294,rgb,"rgba(255,255,255,0.7)",1
planetai,assets/site-chrome.css,39,rgb,"rgba(30, 30, 30, 0.10)",1
planetai,assets/site-chrome.css,40,rgb,"rgba(30, 30, 30, 0.20)",1
planetai,assets/site-chrome.css,41,rgb,"rgba(30, 30, 30, 0.60)",1
planetai,assets/site-chrome.css,283,rgb,"rgba(30,30,30,0.10)",1
planetai,assets/site-chrome.css,246,rgb,"rgba(30,30,30,0.20)",1
planetai,assets/site-chrome.css,125,z-index,50,1
planetai,assets/site-chrome.css,290,z-index,60,1
planetai,index.html,261,border-radius,0,4
planetai,index.html,813,border-radius,0 6px 6px 0,3
planetai,index.html,539,border-radius,10px,3
planetai,index.html,117,border-radius,2px,2
planetai,index.html,282,border-radius,8px,2
planetai,index.html,370,border-radius,999px,2
planetai,index.html,683,border-radius,0 3px 3px 0,1
planetai,index.html,312,border-radius,12px,1
planetai,index.html,1593,border-radius,14px,1
planetai,index.html,130,border-radius,4px,1
planetai,index.html,1238,border-radius,50%,1
planetai,index.html,541,box-shadow,"0 4px 14px rgba(30,30,30,0.035)",2
planetai,index.html,1115,box-shadow,"0 0 0 3px color-mix(in srgb, var(--dot, #888) 18%, transparent)",1
planetai,index.html,372,box-shadow,"0 0 0 3px rgba(44,158,90,0.15)",1
planetai,index.html,313,box-shadow,"0 14px 40px rgba(0,0,0,0.10)",1
planetai,index.html,132,font-family,var(--font-mono),39
planetai,index.html,213,font-family,var(--font-display),13
planetai,index.html,397,font-family,var(--font-utility),2
planetai,index.html,97,font-family,var(--font-body),1
planetai,index.html,429,font-family,"var(--font-display, var(--font-body))",1
planetai,index.html,148,font-size,10.5px,12
planetai,index.html,132,font-size,12px,11
planetai,index.html,568,font-size,11px,7
planetai,index.html,215,font-size,10px,4
planetai,index.html,720,font-size,11.5px,4
planetai,index.html,431,font-size,15px,4
planetai,index.html,801,font-size,16px,4
planetai,index.html,98,font-size,17px,4
planetai,index.html,400,font-size,14px,3
planetai,index.html,795,font-size,26px,3
planetai,index.html,1198,font-size,12.5px,2
planetai,index.html,732,font-size,14.5px,2
planetai,index.html,514,font-size,18px,2
planetai,index.html,412,font-size,19px,2
planetai,index.html,234,font-size,9.5px,2
planetai,index.html,1594,font-size,.85rem,1
planetai,index.html,1418,font-size,0.85em,1
planetai,index.html,1123,font-size,16.5px,1
planetai,index.html,484,font-size,20px,1
planetai,index.html,713,font-size,22px,1
planetai,index.html,962,font-size,"clamp(28px, 3.4vw, 40px)",1
planetai,index.html,1153,font-size,"clamp(30px, 3.6vw, 44px)",1
planetai,index.html,505,font-size,"clamp(30px, 4vw, 46px)",1
planetai,index.html,378,font-size,"clamp(40px, 6vw, 80px)",1
planetai,index.html,4,hex,#1e1e1e,33
planetai,index.html,30,hex,#20388d,17
planetai,index.html,1597,hex,#124,7
planetai,index.html,28,hex,#e62038,4
planetai,index.html,4,hex,#f7f5f1,2
planetai,index.html,27,hex,#ffffff,2
planetai,index.html,29,hex,#00a057,1
planetai,index.html,38,hex,#4a4a44,1
planetai,index.html,54,hex,#7a5a10,1
